# ###################################################################
#      2d Ising Model with Metropolis algorithm on square lattice    
# Run on NOTSET ( NOTSET ) by Karnavr on Thu Mar  3 17:31:05 2022
# L       = 10 (Lattice linear dimension, N=L*L)           
# seed    = 5342 (random number gener. seed)                 
# nsweeps = 10000 (No. of sweeps)                             
# beta    = 0.44                                             
# start   = 1 (0 cold, 1 hot, 2 old config)
-80 -28
-92 -38
-116 -52
-112 -60
-136 -68
-128 -70
-120 -74
-140 -80
-144 -80
-136 -70
-144 -78
-124 -76
-144 -72
-152 -76
-148 -74
-168 -86
-140 -72
-120 -60
-132 -78
-152 -86
-172 -90
-188 -96
-164 -88
-164 -90
-136 -80
-200 -100
-168 -92
-184 -96
-164 -90
-180 -94
-160 -88
-152 -84
-160 -84
-156 -86
-156 -86
-160 -86
-140 -76
-144 -78
-176 -88
-180 -94
-192 -98
-180 -94
-192 -98
-184 -96
-184 -96
-160 -86
-172 -92
-168 -90
-148 -84
-164 -90
-144 -84
-160 -86
-156 -88
-176 -94
-180 -94
-172 -92
-176 -92
-156 -86
-132 -68
-116 -66
-136 -74
-120 -66
-108 -60
-124 -64
-116 -74
-128 -76
-132 -74
-140 -80
-120 -68
-140 -80
-152 -82
-160 -86
-132 -74
-160 -82
-160 -88
-176 -90
-144 -80
-168 -92
-164 -90
-160 -86
-136 -70
-140 -70
-132 -78
-132 -74
-136 -74
-156 -88
-164 -88
-136 -76
-160 -86
-144 -80
-128 -70
-140 -78
-164 -88
-160 -88
-156 -84
-156 -84
-156 -86
-168 -92
-160 -88
-168 -90
-172 -90
-168 -86
-160 -82
-140 -76
-136 -76
-144 -80
-144 -82
-124 -68
-152 -84
-184 -94
-180 -94
-164 -90
-160 -86
-144 -84
-160 -84
-148 -86
-140 -74
-152 -78
-140 -70
-132 -68
-116 -52
-148 -54
-124 -54
-116 -40
-112 -26
-112 -22
-112 -34
-112 -50
-104 -36
-104 -50
-124 -42
-128 -44
-152 -58
-128 -56
-116 -56
-120 -70
-120 -66
-124 -62
-152 -84
-160 -88
-164 -86
-156 -86
-152 -86
-152 -84
-144 -80
-152 -82
-184 -96
-152 -86
-192 -98
-184 -96
-120 -76
-152 -86
-148 -86
-168 -92
-144 -78
-144 -82
-152 -80
-132 -80
-144 -80
-176 -94
-168 -92
-176 -94
-148 -78
-120 -60
-108 -56
-92 -52
-88 -58
-144 -76
-156 -84
-176 -94
-188 -96
-180 -94
-156 -86
-156 -88
-148 -86
-136 -82
-152 -86
-148 -84
-132 -72
-128 -74
-100 -48
-104 -42
-116 -52
-128 -68
-128 -58
-132 -68
-128 -72
-148 -76
-112 -64
-140 -66
-132 -64
-144 -68
-144 -74
-124 -66
-108 -64
-128 -62
-140 -78
-156 -80
-124 -66
-128 -72
-140 -78
-156 -88
-164 -80
-152 -78
-156 -76
-132 -72
-104 -60
-112 -62
-132 -68
-128 -76
-136 -74
-120 -74
-144 -72
-124 -62
-116 -58
-112 -68
-112 -68
-120 -74
-124 -66
-100 -48
-112 -62
-120 -66
-112 -70
-132 -76
-152 -78
-164 -84
-144 -70
-144 -68
-152 -78
-152 -80
-152 -72
-148 -70
-144 -60
-136 -72
-144 -70
-144 -70
-136 -50
-136 -54
-120 -60
-124 -60
-128 -60
-140 -70
-140 -74
-144 -78
-156 -88
-144 -82
-136 -64
-120 -60
-108 -58
-100 -32
-92 -20
-96 -22
-112 -14
-124 -12
-100 -6
-100 14
-88 18
-80 20
-84 20
-104 16
-96 20
-92 18
-64 20
-88 24
-80 36
-84 36
-92 28
-112 20
-100 6
-80 -22
-88 -22
-104 -24
-96 -10
-88 -20
-100 -22
